Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_07,Chrome 142.0.7444.176,,,02-12-2025 11:22:36,02-12-2025 11:23:10,33.549s,PASSED
,,,,,,,
Test Cases/HRIS/SignIn/testcase31,Chrome 142.0.7444.176,,,02-12-2025 11:22:37,02-12-2025 11:22:45,8.144s,PASSED
"openBrowser(""https://qahris.trilasoft.com/"")",Chrome 142.0.7444.176,,,02-12-2025 11:22:37,02-12-2025 11:22:40,2.621s,PASSED
"setText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_email""), username)",Chrome 142.0.7444.176,,,02-12-2025 11:22:40,02-12-2025 11:22:41,0.890s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_password""), password)",Chrome 142.0.7444.176,,,02-12-2025 11:22:41,02-12-2025 11:22:41,0.383s,PASSED
"click(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/button_Remember Me_btn btn-primary""))",Chrome 142.0.7444.176,,,02-12-2025 11:22:41,02-12-2025 11:22:45,3.680s,PASSED
title = getWindowTitle(),Chrome 142.0.7444.176,,,02-12-2025 11:22:45,02-12-2025 11:22:45,0.029s,PASSED
println(title),Chrome 142.0.7444.176,,,02-12-2025 11:22:45,02-12-2025 11:22:45,0.005s,PASSED
"assert title == ""My Dashboard | TrilaSoft""",Chrome 142.0.7444.176,,,02-12-2025 11:22:45,02-12-2025 11:22:45,0.003s,PASSED
closeBrowser(),Chrome 142.0.7444.176,,,02-12-2025 11:22:45,02-12-2025 11:22:45,0.187s,PASSED
,,,,,,,
Test Cases/HRIS/SignIn/testcase32,Chrome 142.0.7444.176,,,02-12-2025 11:22:45,02-12-2025 11:22:51,6.232s,PASSED
"openBrowser(""https://qahris.trilasoft.com/"")",Chrome 142.0.7444.176,,,02-12-2025 11:22:45,02-12-2025 11:22:47,1.341s,PASSED
"setText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_email""), username)",Chrome 142.0.7444.176,,,02-12-2025 11:22:47,02-12-2025 11:22:47,0.851s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_password""), password)",Chrome 142.0.7444.176,,,02-12-2025 11:22:47,02-12-2025 11:22:48,0.320s,PASSED
"click(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/button_Remember Me_btn btn-primary""))",Chrome 142.0.7444.176,,,02-12-2025 11:22:48,02-12-2025 11:22:51,3.510s,PASSED
